,text,answer
43,What is the biggest grass in the world?,0
180,what plans and strategies are mentioned pertaining to transport sector ?,1
63,What is the largest sand desert in the world?,0
195,what adaptation/mitigation/net-zero targets/objectives are provided for the lulucf/forestry sector ?,1
106,what unconditional actions are mentioned pertaining to energy sector ?,1
19,What is the most popular food in Uzbekistan?,0
166,what adaptation/mitigation/net-zero targets/objectives are provided for the energy sector ?,1
115,what plans and strategies are mentioned pertaining to energy sector ?,1
88,What is the most popular place for sports in Uzbekistan?,0
112,what upstream policies and strategies are mentioned in  buildings sector ?,1
52,Which city has the most historical monuments in Uzbekistan?,0
82,Which city has the most historical monuments in Uzbekistan?,0
136,what are the existing upstream policies that are incorporated in the energy sector ?,1
81,In which city is the most famous blue tower in the world?,0
193,what are the downstream actions that are incorporated in the agriculture sector as part of nationally determined contributions?,1
169,what plans and strategies are mentioned pertaining to energy sector ?,1
104,what are the plans and strategies for adaptation in the education sector ?,1
50,What is the region with the largest number of agricultural activities in Uzbekistan?,0
197,what upstream policies and strategies are mentioned in  lulucf/forestry sector ?,1
33,What is the largest desert in the world?,0
163,what upstream policies and strategies are mentioned in  energy sector ?,1
102,what unconditional actions are mentioned pertaining to coastal zone sector ?,1
139,what upstream policies and strategies are mentioned in  industries sector ?,1
59,What is the most famous travel agency in the world?,0
70,Which region produces the most food products in Uzbekistan?,0
15,What is the place where the most flowers grow in Uzbekistan?,0
57,What is the largest freshwater sea in the world?,0
58,What is the place where most different animals live in Uzbekistan?,0
67,What is the largest fighting animal in the world?,0
39,In which city is the most famous football stadium in the world?,0
68,What is the city with the most music activities in Uzbekistan?,0
42,Which city in Uzbekistan has the largest number of Uzbeks?,0
94,What is the place with the most mountains in Uzbekistan?,0
126,what plans and strategies are mentioned pertaining to waste sector ?,1
32,In which city are the oldest madrassas in Uzbekistan?,0
20,What is the region with the most rural population in Uzbekistan?,0
45,In which city is the most famous botanical garden in the world?,0
151,what are the downstream actions that are incorporated in the energy sector as part of nationally determined contributions?,1
187,what are the downstream actions that are incorporated in the waste sector as part of nationally determined contributions?,1
109,what unconditional actions are mentioned pertaining to water sector ?,1
23,What is the largest island in the world?,0
185,what are the downstream actions that are incorporated in the transport sector as part of nationally determined contributions?,1
124,what plans and strategies are mentioned pertaining to transport sector ?,1
95,What country is the most famous strong wine in the world?,0
100,What are the Plans and strategies for adaptation in the Agriculture Sector ?,1
183,what are the downstream actions that are incorporated in the transport sector as part of nationally determined contributions?,1
34,Which region has the most water places in Uzbekistan?,0
60,In which city are the most nature reserves in Uzbekistan?,0
87,What is the largest intercity airport in the world?,0
107,what unconditional actions are mentioned pertaining to environment sector ?,1
61,What is the most famous ocean in the world?,0
29,What is the largest continent in the world?,0
152,what adaptation/mitigation/net-zero targets/objectives are provided for the energy sector ?,1
9,What are the tombs of the ancient pharaohs called in Egypt?,0
119,what adaptation/mitigation/net-zero targets/objectives are provided for the energy sector ?,1
147,what plans and strategies are mentioned pertaining to energy sector ?,1
145,what are the adaptation action/priority for the health sector?,1
127,what are the adaptation action/priority for the agriculture sector?,1
99,In which city is the most famous bookstore in the world?,0
165,what plans and strategies are mentioned pertaining to energy sector ?,1
41,The most famous dessert in the world belongs to which country?,0
85,What countries are the most famous football clubs in the world?,0
31,In which city is the most famous Disneyland in the world?,0
137,what upstream policies and strategies are mentioned in  energy sector ?,1
167,what adaptation/mitigation/net-zero targets/objectives are provided for the energy sector ?,1
171,what plans and strategies are mentioned pertaining to waste sector ?,1
138,what adaptation/mitigation/net-zero targets/objectives are provided for the energy sector ?,1
17,What is the largest sea of Uzbekistan called?,0
37,In which city is the largest eastern bazaar in the world?,0
